ANDERSON-SHIRO CISD                       458 FM 149 W
                                          smitchell@goodrichisd.net
                                          www.goodrichisd.net
GRAPELAND ISD                             P O BOX 249
District Type: ISD/CSD                    GRAPELAND, TX 75844-0249
District Code: 113902                     Phone: (936) 687-4619
HOUSTON COUNTY                            Fax: (936) 687-4624
                                          gspivey@grapelandisd.net
                                          www.grapelandisd.net
GROVETON ISD                              P O BOX 728
District Type: ISD/CSD                    GROVETON, TX 75845-0728
District Code: 228901                     Phone: (936) 642-1473
TRINITY COUNTY                            Fax: (936) 642-1628
                                          grovetonisd@grovetonisd.net
                                          www.grovetonisd.net
HEARNE ISD                                900 WHEELOCK ST
District Type: ISD/CSD                    HEARNE, TX 77859-3096
District Code: 198905                     Phone: (979) 279-3200
ROBERTSON COUNTY                          Fax: (979) 279-3631
                                          nmcdaniel@hearne.k12.tx.us
                                          www.hearne.k12.tx.us
HUNTSVILLE ISD                            441 FM 2821 E
District Type: ISD/CSD                    HUNTSVILLE, TX 77320-9298
District Code: 236902                     Phone: (936) 435-6300
WALKER COUNTY                             Fax: (936) 291-3444
                                          cbrown@huntsville-isd.org
                                          www.huntsville-isd.org/
IOLA ISD                                  P O BOX 159
District Type: ISD/CSD                    IOLA, TX 77861-0159
District Code: 093903                     Phone: (936) 394-2361
GRIMES COUNTY                             Fax: (936) 394-2132
                                          cjones@iolaisd.net
                                          www.iolaisd.net
KENNARD ISD                               304 HWY SEVEN E
District Type: ISD/CSD                    KENNARD, TX 75847-0038
District Code: 113906                     Phone: (936) 655-2008
HOUSTON COUNTY                            Fax: (936) 655-2327
                                          dbaxter@kennardisd.net
                                          www.kennardisd.net
LATEXO ISD                                P O BOX 975
District Type: ISD/CSD                    LATEXO, TX 75849-0975
District Code: 113905                     Phone: (936) 544-5664
HOUSTON COUNTY                            Fax: (936) 544-5332
                                          jlane@latexoisd.net
                                          www.latexoisd.net/
LEGGETT ISD                               P O BOX 68
District Type: ISD/CSD                    LEGGETT, TX 77350-0068
District Code: 187906                     Phone: (936) 398-2804
POLK COUNTY                               Fax: (936) 398-2078
                                          jkoether@leggettisd.net
                                          www.leggettisd.net
LEON ISD                                  12168 HWY 79 W
District Type: ISD/CSD                    JEWETT, TX 75846
District Code: 145911                     Phone: (903) 626-1400
LEON COUNTY                               Fax: (903) 626-1420
                                          mbaldree@leonisd.net

LIVINGSTON ISD                            P O BOX 1297
District Type: ISD/CSD                    LIVINGSTON, TX 77351-1297
District Code: 187907                     Phone: (936) 328-2100
POLK COUNTY                               Fax: (936) 328-2109
                                          klowe@livingstonisd.com
                                          www.livingstonisd.com
LOVELADY ISD                              P O BOX 99
District Type: ISD/CSD                    LOVELADY, TX 75851-0099
District Code: 113903                     Phone: (936) 636-7616
HOUSTON COUNTY                            Fax: (936) 636-2212
                                          SUPERINTENDENT@LOVELADYISD.NET
                                          www.loveladyisd.net
MADISONVILLE CISD                         P O BOX 879
District Type: ISD/CSD                    MADISONVILLE, TX 77864-0879
District Code: 154901                     Phone: (936) 348-2797
MADISON COUNTY                            Fax: (936) 348-2751
                                          cklenk@madisonvillecisd.org
                                          www.madisonvillecisd.org
MAGNOLIA ISD                              P O BOX 88
District Type: ISD/CSD                    MAGNOLIA, TX 77353-0088
District Code: 170906                     Phone: (281) 356-3571
MONTGOMERY COUNTY                         Fax: (281) 356-1328
                                          info@magnoliaisd.org
                                          www.magnoliaisd.org
MILANO ISD                                P O BOX 145
District Type: ISD/CSD                    MILANO, TX 76556-0145
District Code: 166903                     Phone: (512) 455-2533
MILAM COUNTY                              Fax: (512) 455-9311
                                          rwestbrook@milanoisd.net
                                          www.milanoisd.net
MONTGOMERY ISD                            P O BOX 1475
District Type: ISD/CSD                    MONTGOMERY, TX 77356-1475
District Code: 170903                     Phone: (936) 582-1333
MONTGOMERY COUNTY                         Fax: (936) 582-6457
                                          superintendent@misd.org
                                          www.misd.org
MUMFORD ISD                               P O BOX 268
District Type: ISD/CSD                    MUMFORD, TX 77867-0268
District Code: 198906                     Phone: (979) 279-3678
ROBERTSON COUNTY                          Fax: (979) 279-5044
                                          pbienski@mumford.k12.tx.us
                                          www.mumford.k12.tx.us/
NAVASOTA ISD                              P O BOX 511
District Type: ISD/CSD                    NAVASOTA, TX 77868-0511
District Code: 093904                     Phone: (936) 825-4200
GRIMES COUNTY                             Fax: (936) 825-4297
                                          geschr@navasotaisd.org
                                          www.navasotaisd.org
NEW CANEY ISD                             21580 LOOP 494
District Type: ISD/CSD                    NEW CANEY, TX 77357
District Code: 170908                     Phone: (281) 577-8600
MONTGOMERY COUNTY                         Fax: (281) 354-2639
                                          rdomingue@newcaneyisd.org
                                          www.newcaneyisd.org
NEW WAVERLY ISD                           355 FRONT ST
District Type: ISD/CSD                    NEW WAVERLY, TX 77358-3527
District Code: 236901                     Phone: (936) 344-6751
WALKER COUNTY                             Fax: (936) 344-2438
                                          dhail@new-waverly.k12.tx.us
                                          www.new-waverly.k12.tx.us
NORMANGEE ISD                             P O BOX 219
District Type: ISD/CSD                    NORMANGEE, TX 77871-0219
District Code: 145906                     Phone: (936) 396-3111
LEON COUNTY                               Fax: (936) 396-3112
                                          jburger@normangeeisd.org
                                          www.normangeeisd.org
NORTH ZULCH ISD                           P O BOX 158
District Type: ISD/CSD                    NORTH ZULCH, TX 77872-0158
District Code: 154903                     Phone: (936) 399-1010
MADISON COUNTY                            Fax: (936) 399-2025
                                          admin@nzisd.org
                                          www.nzisd.org
OAKWOOD ISD                               631 N HOLLY
District Type: ISD/CSD                    OAKWOOD, TX 75855
District Code: 145907                     Phone: (903) 545-2666
LEON COUNTY                               Fax: (903) 545-2310
                                          dstanford@oakwoodisd.net
                                          www.oakwoodisd.net/
ONALASKA ISD                              P O BOX 2289
District Type: ISD/CSD                    ONALASKA, TX 77360-2289
District Code: 187910                     Phone: (936) 646-1000
POLK COUNTY                               Fax: (936) 646-2605
                                          lredden@onalaskaisd.net
                                          www.onalaskaisd.net
RAVEN SCHOOL                              143 FOREST SERVICE RD #233
District Type: Open Enroll CSD            NEW WAVERLY, TX 77358
District Code: 236801                     Phone: (936) 344-7235
WALKER COUNTY                             Fax: (936) 344-7236
                                          pat.mosley@gctcw.org
                                          www.gctcw.org
RICHARDS ISD                              P O BOX 308
District Type: ISD/CSD                    RICHARDS, TX 77873-0308
District Code: 093905                     Phone: (936) 851-2364
GRIMES COUNTY                             Fax: (936) 851-2210
                                          mainsworth@richardsisd.net
                                          www.richardsisd.net
ROCKDALE ISD                              P O BOX 632
District Type: ISD/CSD                    ROCKDALE, TX 76567-0632
District Code: 166904                     Phone: (512) 430-6000
MILAM COUNTY                              Fax: (512) 446-3460
                                          dmelcher@rockdaleisd.net
                                          www.rockdaleisd.net
SEALY ISD                                 939 TIGER LN
District Type: ISD/CSD                    SEALY, TX 77474-3211
District Code: 008902                     Phone: (979) 885-3516
AUSTIN COUNTY                             Fax: (979) 885-6457
                                          skana@sealyisd.com
                                          www.sealyisd.com
SHEPHERD ISD                              1401 S BYRD AVE
District Type: ISD/CSD                    SHEPHERD, TX 77371
District Code: 204904                     Phone: (936) 628-3396
SAN JACINTO COUNTY                        Fax: (936) 628-3841
                                          jcronin@shepherdisd.net
                                          www.shepherdisd.net
SNOOK ISD                                 P O BOX 87
District Type: ISD/CSD                    SNOOK, TX 77878-0087
District Code: 026903                     Phone: (979) 272-8307
BURLESON COUNTY                           Fax: (979) 272-8280
                                          williamsl@snookisd.com
                                          www.snookisd.com
SOMERVILLE ISD                            P O BOX 997
District Type: ISD/CSD                    SOMERVILLE, TX 77879-0997
District Code: 026902                     Phone: (979) 596-2153
BURLESON COUNTY                           Fax: (979) 596-1778
                                          ccamarillo@somervilleisd.org
                                          www.somervilleisd.org
SPLENDORA ISD                             23419 FM 2090
District Type: ISD/CSD                    SPLENDORA, TX 77372-6211
District Code: 170907                     Phone: (281) 689-3128
MONTGOMERY COUNTY                         Fax: (281) 689-7509
                                          gbell@splendoraisd.org
                                          www.splendoraisd.org
TEXAS SERENITY ACADEMY                    262 N SAM HOUSTON PKWY E STE 1
District Type: Open Enroll CSD            HOUSTON, TX 77060
District Code: 170801                     Phone: (281) 931-8887
MONTGOMERY COUNTY                         Fax: (281) 931-8034
                                          hagmons@sbcglobal.net
                                          www.texasserenityacademy.net
TRINITY ISD                               P O BOX 752
District Type: ISD/CSD                    TRINITY, TX 75862-0752
District Code: 228903                     Phone: (936) 594-3569
TRINITY COUNTY                            Fax: (936) 594-8425
                                          dplymale@trinityisd.net
                                          www.trinityisd.net
WILLIS ISD                                204 W ROGERS ST
District Type: ISD/CSD                    WILLIS, TX 77378-9239
District Code: 170904                     Phone: (936) 856-1200
MONTGOMERY COUNTY                         Fax: (936) 856-5182
                                          shill@willisisd.org
                                          www.willisisd.org
